time,T1,Tref,Q1
194,42.877,42.0,79.64727020263672
195,42.877,42.0,76.79767608642578
196,43.038,42.0,75.24359130859375
197,43.038,42.0,66.60726928710938
198,43.103,42.0,61.01466369628906
199,43.038,42.0,56.597816467285156
200,43.167,45.0,34.50789260864258
201,43.006,45.0,36.029075622558594
202,43.103,45.0,38.94429016113281
203,43.296,45.0,39.81723403930664
204,43.264,45.0,35.0001335144043
205,43.264,45.0,32.088077545166016
206,43.489,45.0,32.73118591308594
207,43.36,45.0,30.798221588134766
208,43.457,45.0,30.558622360229492
209,43.65,45.0,33.939369201660156
210,43.586,45.0,37.5453987121582
211,43.812,45.0,45.533836364746094
212,43.812,45.0,49.75166320800781
213,43.973,45.0,50.99093246459961
214,44.005,45.0,50.51365661621094
215,44.102,45.0,48.78761291503906
216,44.102,45.0,46.98461151123047
217,44.198,45.0,44.93404006958008
218,44.392,45.0,42.150794982910156
219,44.263,45.0,36.17258834838867
220,44.553,45.0,32.67790603637695
221,44.424,45.0,29.847145080566406
222,44.617,45.0,29.816930770874023
223,44.553,45.0,28.042953491210938
224,44.617,45.0,28.167512893676758
225,44.778,45.0,26.846492767333984
226,44.875,45.0,25.529272079467773
227,44.939,45.0,24.08361053466797
228,44.907,45.0,23.872133255004883
229,45.068,45.0,23.44437026977539
230,45.101,45.0,22.829469680786133
231,45.165,45.0,22.755950927734375
232,45.101,45.0,23.916894912719727
233,45.229,45.0,23.475521087646484
234,45.358,45.0,21.548179626464844
235,45.455,45.0,19.105669021606445
236,45.391,45.0,18.148569107055664
237,45.552,45.0,17.164043426513672
238,45.52,45.0,16.1590633392334
239,45.552,45.0,16.254413604736328
240,45.584,45.0,16.438966751098633
241,45.648,45.0,16.485605239868164
242,45.648,45.0,16.64404296875
243,45.745,45.0,16.610870361328125
244,45.745,45.0,16.145280838012695
245,45.777,45.0,15.991247177124023
246,45.777,45.0,16.028261184692383
247,45.81,45.0,16.22309112548828
248,45.81,45.0,16.18395233154297
249,45.81,45.0,16.446659088134766
250,45.777,45.0,17.111215591430664
251,46.035,45.0,15.31372356414795
252,45.777,45.0,15.580731391906738
253,45.971,45.0,15.636643409729004
254,45.971,45.0,14.44522762298584
255,45.938,45.0,14.048730850219727
256,45.906,45.0,14.505359649658203
257,46.035,45.0,13.94929313659668
258,46.164,45.0,11.814030647277832
259,45.938,45.0,12.261062622070312
260,46.067,45.0,12.955060958862305
261,46.067,45.0,12.558761596679688
262,46.132,45.0,12.022262573242188
263,45.874,45.0,13.786828994750977
264,45.938,45.0,15.896665573120117
265,45.971,45.0,16.1870059967041
266,45.971,45.0,16.218486785888672
267,46.003,45.0,16.188446044921875
268,45.842,45.0,17.50396728515625
269,45.842,45.0,18.891738891601562
270,45.971,45.0,17.996469497680664
271,45.874,45.0,17.957056045532227
272,45.906,45.0,17.786439895629883
273,45.938,45.0,16.993532180786133
274,45.842,45.0,17.366849899291992
275,45.874,45.0,17.83951759338379
276,45.842,45.0,17.938268661499023
277,45.842,45.0,17.8836669921875
278,45.81,45.0,18.3625431060791
279,45.842,45.0,18.22768211364746
280,45.777,45.0,18.382266998291016
281,45.938,45.0,16.965261459350586
282,45.906,45.0,15.90716552734375
283,45.842,45.0,16.268753051757812
284,45.777,45.0,17.546344757080078
285,45.745,45.0,18.679798126220703
286,45.842,45.0,32.414276123046875
287,45.842,45.0,45.87627410888672
288,45.971,45.0,55.05653762817383
289,45.874,45.0,63.77546691894531
290,45.842,45.0,70.87542724609375
291,45.971,45.0,75.63518524169922
292,46.003,45.0,76.65283966064453
293,45.906,45.0,77.89888000488281
294,45.971,45.0,77.5846939086914
295,45.842,45.0,75.7353286743164
296,45.777,45.0,73.25260925292969
297,45.906,45.0,67.31822967529297
298,45.971,45.0,58.4000244140625
299,45.971,45.0,49.33732604980469
300,45.971,48.0,34.10191345214844
301,45.906,48.0,37.86565017700195
302,45.906,48.0,39.88591003417969
303,46.003,48.0,40.63571548461914
304,45.971,48.0,39.72603225708008
305,46.229,48.0,42.66236877441406
306,46.196,48.0,44.85919189453125
307,46.196,48.0,47.57152557373047
308,46.196,48.0,50.337074279785156
309,46.293,48.0,54.16889190673828
310,46.486,48.0,57.329219818115234
311,46.551,48.0,59.4686393737793
312,46.615,48.0,61.056182861328125
313,46.68,48.0,60.90834045410156
314,46.744,48.0,58.951026916503906
315,46.809,48.0,55.60208511352539
316,47.034,48.0,52.55944061279297
317,46.873,48.0,48.30786895751953
318,46.938,48.0,43.678836822509766
319,46.873,48.0,39.2829475402832
320,47.099,48.0,37.220428466796875
321,47.034,48.0,36.11351776123047
322,47.131,48.0,37.13169860839844
323,47.131,48.0,37.99153137207031
324,47.389,48.0,39.861358642578125
325,47.485,48.0,39.382266998291016
326,47.485,48.0,39.495540618896484
327,47.518,48.0,40.14676284790039
328,47.711,48.0,40.229637145996094
329,47.646,48.0,40.260536193847656
330,47.775,48.0,41.05024719238281
331,47.904,48.0,40.569026947021484
332,47.84,48.0,39.938968658447266
333,47.904,48.0,39.21427917480469
334,47.84,48.0,38.37887954711914
335,48.13,48.0,35.875328063964844
336,48.098,48.0,32.313507080078125
337,48.13,48.0,29.979663848876953
338,48.162,48.0,28.66698455810547
339,48.162,48.0,28.353878021240234
340,48.291,48.0,27.004581451416016
341,48.452,48.0,24.100669860839844
342,48.291,48.0,24.405006408691406
343,48.452,48.0,24.524147033691406
344,48.355,48.0,25.30276107788086
345,48.517,48.0,25.189346313476562
346,48.452,48.0,25.338685989379883
347,48.517,48.0,25.766063690185547
348,48.71,48.0,23.399654388427734
349,48.742,48.0,21.26251220703125
350,48.71,48.0,20.933643341064453
351,48.774,48.0,20.651185989379883
352,48.839,48.0,19.872156143188477
353,48.807,48.0,19.97922706604004
354,48.774,48.0,21.143726348876953
355,48.936,48.0,19.998363494873047
356,48.968,48.0,18.366626739501953
357,48.871,48.0,19.34259605407715
358,49.0,48.0,19.309755325317383
359,49.161,48.0,16.995651245117188
360,48.968,48.0,17.427650451660156
361,48.903,48.0,20.034435272216797
362,49.032,48.0,20.026611328125
363,49.064,48.0,18.742952346801758
364,49.0,48.0,19.319557189941406
365,49.0,48.0,20.46415138244629
366,49.097,48.0,19.511219024658203
367,49.0,48.0,19.756954193115234
368,48.968,48.0,21.135265350341797
369,49.0,48.0,21.384944915771484
370,49.0,48.0,20.943466186523438
371,49.097,48.0,19.702768325805664
372,49.258,48.0,17.181610107421875
373,48.936,48.0,18.560707092285156
374,49.0,48.0,20.43951988220215
375,49.032,48.0,20.58732795715332
376,49.032,48.0,20.419618606567383
377,49.032,48.0,20.210546493530273
378,49.032,48.0,19.904926300048828
379,48.936,48.0,21.036514282226562
380,49.064,48.0,20.87645149230957
381,48.936,48.0,21.352750778198242
382,48.968,48.0,21.990659713745117
383,48.807,48.0,24.21356964111328
384,48.936,48.0,24.316635131835938
385,48.871,48.0,23.909013748168945
386,48.936,48.0,8.920198440551758
387,48.742,48.0,3.627964973449707
388,48.71,48.0,2.456158399581909
389,48.742,48.0,1.750996708869934
390,48.678,48.0,1.5819370746612549
391,48.774,48.0,1.769915223121643
392,48.646,48.0,1.6217738389968872
393,48.71,48.0,1.8239498138427734
394,48.678,48.0,2.4347126483917236
395,48.613,48.0,3.0751795768737793
396,48.613,48.0,3.4688949584960938
397,48.613,48.0,3.0682027339935303
398,48.613,48.0,1.782381534576416
399,48.613,48.0,1.8118590116500854
400,48.452,40.0,1.4215469360351562
401,48.388,40.0,1.7747044563293457
402,48.388,40.0,1.7158925533294678
403,48.42,40.0,1.7018914222717285
404,48.291,40.0,1.7512261867523193
405,48.323,40.0,1.7105340957641602
406,48.388,40.0,1.6282588243484497
