scenario,ctrl,Tp,S,R,P_N,ISE,IAE,ITAE,OS,Energy,TV
const,NMPC/PN_alta,30,0.0113,0.001,0.5,4667.652485855386,917.1804442325173,93105.3400085584,5.596142122659695,10283.31202807478,187.75019450604972
const,NMPC/PN_alta,60,0.0113,0.001,0.5,4541.160587919793,959.4262168898305,112110.73958851413,3.55907420991772,9966.529945165976,95.0999723942387
const,NMPC/PN_alta,90,0.0113,0.001,0.5,7188.323565571553,1334.5043173396748,177899.33062878565,7.893411802616967,10388.633555985036,190.54180342795135
const,NMPC/PN_alta,120,0.0113,0.001,0.5,7564.332869455502,1403.7825996500735,206070.47776266583,9.264927861060917,10633.912267385305,118.52557921662357
const,NMPC/balance,30,0.05,0.0005,0.5,3936.3376685143326,805.3973999023083,79031.52844918937,6.004579406203305,10261.224339432347,165.84606819673374
const,NMPC/balance,60,0.05,0.0005,0.5,4358.399752891802,886.4224982623858,92666.71088766771,6.666938558470321,10313.377174605646,134.751877259691
const,NMPC/balance,90,0.05,0.0005,0.5,4398.126578275606,935.028625838576,109143.38124360274,6.618500137370809,10276.3757476101,126.24745662702088
const,NMPC/balance,120,0.05,0.0005,0.5,6032.30893003014,1343.3007740193214,270483.9567157727,6.336989650687445,11987.484499889513,501.38780133347274
stress,NMPC/ref[7],30,0.0113,0.001,0.1513,48032.49205946114,3619.9833004024827,1131477.3475396654,21.770963321296126,12255.279605103335,261.6762191227503
stress,NMPC/ref[7],60,0.0113,0.001,0.1513,59554.41978710285,4032.9118358888973,1277090.092040781,24.688241408185394,12964.579967424143,247.1876250985791
stress,NMPC/ref[7],90,0.0113,0.001,0.1513,68998.87095041414,4356.379935191253,1401821.8893340097,26.59168647420005,13252.71020083331,238.92605514998323
stress,NMPC/ref[7],120,0.0113,0.001,0.1513,59842.72646282295,4148.817910812657,1331207.576262554,24.886221280475137,12701.061122082812,232.2924810330991
stress,NMPC/S_alta,30,0.05,0.001,0.1513,43111.73335289988,3493.1416920993747,1083156.3394504199,20.303507292425234,11604.298984279181,340.0900334138043
stress,NMPC/S_alta,60,0.05,0.001,0.1513,44008.97833775872,3522.9798867006343,1103391.4651636682,20.481724393111694,11985.668316208088,282.13731722900064
stress,NMPC/S_alta,90,0.05,0.001,0.1513,44089.248523847666,3904.0824946275593,1235761.1330538301,20.007268436611792,13316.326518497297,513.8767788156844
stress,NMPC/S_alta,120,0.05,0.001,0.1513,42363.57232472668,3878.2871416645607,1199783.997752282,19.435742306055317,12953.189922076997,538.0218296679395
stress,NMPC/R_baja,30,0.0113,0.0001,0.1513,48048.85847104914,3620.7515607250443,1131751.3616541459,21.775119532634125,12257.671689623465,261.7507610339014
stress,NMPC/R_baja,60,0.0113,0.0001,0.1513,59551.65612084585,4032.8295068385128,1277024.7119956454,24.687848573786386,12965.399320816854,247.2101041639047
stress,NMPC/R_baja,90,0.0113,0.0001,0.1513,68954.48504630192,4354.763393320619,1401295.7088492485,26.582939113101617,13250.307791503505,238.91503709654447
stress,NMPC/R_baja,120,0.0113,0.0001,0.1513,59840.341162425575,4148.740489058199,1331172.0987374259,24.885792604458242,12701.32623140241,232.3012899976582
stress,NMPC/PN_alta,30,0.0113,0.001,0.5,48972.791978796035,3655.132269854559,1142592.057051012,22.059257678737975,12255.122936118574,268.06816039785855
stress,NMPC/PN_alta,60,0.0113,0.001,0.5,65873.81650084522,4223.560135336032,1333875.9857750575,24.04933942958665,11827.77037115662,186.75221173126423
stress,NMPC/PN_alta,90,0.0113,0.001,0.5,64680.11025622415,4255.566777961306,1366560.8737415476,26.044962074146508,12990.490592446584,235.0399629285956
stress,NMPC/PN_alta,120,0.0113,0.001,0.5,54420.505161391244,4013.0778603899803,1289408.1299017633,23.53041641595439,12214.919497428731,235.27854623529421
stress,NMPC/balance,30,0.05,0.0005,0.5,43170.37276272729,3486.3074103368454,1084227.7124547933,20.286701216834995,11572.304736978025,329.40522490098033
stress,NMPC/balance,60,0.05,0.0005,0.5,43700.75122065208,3510.027151446815,1100919.9484676078,20.362434444682965,11928.89023279925,277.5363368696747
stress,NMPC/balance,90,0.05,0.0005,0.5,43809.5493868237,3903.0187701850023,1234384.7881205173,19.916648126103116,13149.671494134682,513.8779390632506
