Time(s),Reference(C),Temperature(C),Control_Total(%),Base_NMPC(%),Residual_SAC(%)
106.0,40.77585271554666,44.069,9.840256124465792,24.568121880023806,-14.727865755558014
107.0,40.77585271554666,44.069,9.855339079826205,24.568121880023806,-14.712782800197601
108.0,40.77585271554666,44.102,9.885418265788882,24.568121880023806,-14.682703614234924
109.0,40.77585271554666,44.198,9.894503801791995,24.568121880023806,-14.673618078231812
110.0,40.77585271554666,44.166,7.664948384577659,22.375742773825554,-14.710794389247894
111.0,40.77585271554666,44.198,7.692949752623466,22.375742773825554,-14.682793021202087
112.0,40.77585271554666,44.23,7.722292225176719,22.375742773825554,-14.653450548648834
113.0,40.77585271554666,44.263,7.720557730013756,22.375742773825554,-14.655185043811798
114.0,40.77585271554666,44.198,7.726331631953148,22.375742773825554,-14.649411141872406
115.0,40.77585271554666,44.263,5.807587422494301,20.365548648003944,-14.557961225509644
116.0,40.77585271554666,44.295,5.7947512642186965,20.365548648003944,-14.570797383785248
117.0,40.77585271554666,44.198,5.782208360795387,20.365548648003944,-14.583340287208557
118.0,40.77585271554666,44.295,5.901443280343422,20.365548648003944,-14.464105367660522
119.0,40.77585271554666,44.295,5.859035767678627,20.365548648003944,-14.506512880325317
120.0,40.77585271554666,44.295,4.023199421838296,18.522684020474923,-14.499484598636627
121.0,40.77585271554666,44.263,4.06675760217048,18.522684020474923,-14.455926418304443
122.0,40.77585271554666,44.263,4.12904654212333,18.522684020474923,-14.393637478351593
123.0,40.77585271554666,44.327,4.171895725205911,18.522684020474923,-14.350788295269012
124.0,40.77585271554666,44.327,4.11373470492698,18.522684020474923,-14.408949315547943
125.0,40.77585271554666,44.23,2.4508121223403485,16.83647807549968,-14.385665953159332
126.0,40.77585271554666,44.295,2.628583571429399,16.83647807549968,-14.207894504070282
127.0,40.77585271554666,44.327,2.5645753354980023,16.83647807549968,-14.271902740001678
128.0,40.77585271554666,44.166,2.539314290995744,16.83647807549968,-14.297163784503937
129.0,40.77585271554666,44.198,2.840229532237199,16.83647807549968,-13.996248543262482
130.0,40.77585271554666,44.134,1.2982482423722441,15.296283136838644,-13.9980348944664
131.0,40.77585271554666,44.166,1.4047873725831206,15.296283136838644,-13.891495764255524
132.0,40.77585271554666,44.102,1.3996223320901091,15.296283136838644,-13.896660804748535
133.0,40.77585271554666,44.102,1.5904337873398955,15.296283136838644,-13.705849349498749
134.0,40.77585271554666,44.102,1.6311434616982634,15.296283136838644,-13.66513967514038
135.0,40.77585271554666,44.198,0.20362450872887372,13.88577832972039,-13.682153820991516
136.0,40.77585271554666,44.102,0.0574843505524516,13.88577832972039,-13.828293979167938
137.0,40.77585271554666,44.069,0.3676254967354655,13.88577832972039,-13.518152832984924
138.0,40.77585271554666,44.069,0.46271338259209394,13.88577832972039,-13.423064947128296
139.0,40.77585271554666,44.102,0.44254048859108686,13.88577832972039,-13.443237841129303
140.0,40.77585271554666,44.005,0.0,12.599607903933743,-13.47530722618103
141.0,40.77585271554666,43.973,0.0,12.599607903933743,-13.196922540664673
142.0,40.77585271554666,43.908,0.0,12.599607903933743,-13.142825067043304
143.0,40.77585271554666,43.908,0.0,12.599607903933743,-12.975313067436218
144.0,40.77585271554666,43.812,0.0,12.599607903933743,-12.9201078414917
145.0,40.77585271554666,43.844,0.0,11.426774870765708,-12.58082628250122
146.0,40.77585271554666,43.779,0.0,11.426774870765708,-12.806318700313568
147.0,40.77585271554666,43.779,0.0,11.426774870765708,-12.589374482631683
148.0,40.77585271554666,43.747,0.0,11.426774870765708,-12.413375973701477
149.0,40.77585271554666,43.715,0.0,11.426774870765708,-12.417107820510864
150.0,40.77585271554666,43.618,0.0,10.359543773363711,-12.31659471988678
151.0,40.77585271554666,43.618,0.0,10.359543773363711,-11.983076333999634
152.0,40.77585271554666,43.521,0.0,10.359543773363711,-12.080256342887878
153.0,40.77585271554666,43.586,0.0,10.359543773363711,-11.772341430187225
154.0,40.77585271554666,43.457,0.0,10.359543773363711,-12.10267424583435
155.0,40.77585271554666,43.457,0.0,9.386089093563147,-11.64022296667099
156.0,40.77585271554666,43.425,0.0,9.386089093563147,-11.56522661447525
157.0,40.77585271554666,43.36,0.0,9.386089093563147,-11.60624384880066
158.0,40.77585271554666,43.36,0.0,9.386089093563147,-11.445359587669373
159.0,40.77585271554666,43.328,0.0,9.386089093563147,-11.445847749710083
160.0,40.77585271554666,43.167,0.0,8.498222613698829,-11.423970758914948
161.0,40.77585271554666,43.264,0.0,8.498222613698829,-11.044124364852905
162.0,40.77585271554666,43.199,0.0,8.498222613698829,-11.230628192424774
163.0,40.77585271554666,43.07,0.0,8.498222613698829,-11.04652315378189
164.0,40.77585271554666,43.135,0.0,8.498222613698829,-10.854593217372894
165.0,40.77585271554666,43.07,0.0,7.689870414118562,-10.905117094516754
166.0,40.77585271554666,42.909,0.0,7.689870414118562,-10.76926052570343
167.0,40.77585271554666,42.941,0.0,7.689870414118562,-10.376120209693909
168.0,40.77585271554666,42.813,0.0,7.689870414118562,-10.411915183067322
169.0,40.77585271554666,42.78,0.0,7.689870414118562,-10.255689918994904
170.0,40.77585271554666,42.684,0.0,6.952851707621529,-10.185303390026093
171.0,40.77585271554666,42.748,0.0,6.952851707621529,-10.029894411563873
172.0,40.77585271554666,42.651,0.0,6.952851707621529,-10.134856402873993
173.0,40.77585271554666,42.651,0.0,6.952851707621529,-9.947518408298492
174.0,40.77585271554666,42.49,0.0,6.952851707621529,-9.858616590499878
175.0,40.77585271554666,42.522,0.0,6.281532797056028,-9.462004601955414
176.0,40.77585271554666,42.49,0.0,6.281532797056028,-9.480613768100739
177.0,40.77585271554666,42.522,0.0,6.281532797056028,-9.496148228645325
178.0,40.77585271554666,42.361,0.0,6.281532797056028,-9.52142983675003
179.0,40.77585271554666,42.329,0.0,6.281532797056028,-9.056151509284973
180.0,40.77585271554666,42.2,0.0,6.281532797056028,-8.825247287750244
181.0,40.77585271554666,42.2,0.0,6.281532797056028,-8.443758487701416
182.0,40.77585271554666,42.265,0.0,6.281532797056028,-8.464218378067017
183.0,40.77585271554666,42.232,0.0,6.281532797056028,-8.775064945220947
184.0,40.77585271554666,42.136,0.0,6.281532797056028,-8.629969954490662
185.0,40.77585271554666,42.071,0.0,6.281532797056028,-8.20399135351181
186.0,40.77585271554666,41.878,0.0,6.281532797056028,-7.92689323425293
187.0,40.77585271554666,41.878,0.0,6.281532797056028,-7.85334974527359
188.0,40.77585271554666,41.878,0.0,6.281532797056028,-7.9630351066589355
189.0,40.77585271554666,41.91,0.0,6.281532797056028,-7.940702140331268
190.0,40.77585271554666,41.878,0.0,6.281532797056028,-7.870033085346222
191.0,40.77585271554666,41.781,0.0,6.281532797056028,-7.690365314483643
192.0,40.77585271554666,41.781,0.0,6.281532797056028,-7.498885989189148
193.0,40.77585271554666,41.62,0.0,6.281532797056028,-7.498269081115723
194.0,40.77585271554666,41.652,0.0,6.281532797056028,-7.438221573829651
195.0,40.77585271554666,41.588,0.0,6.281532797056028,-7.40537166595459
196.0,40.77585271554666,41.523,0.0,6.281532797056028,-7.260031700134277
197.0,40.77585271554666,41.491,0.0,6.281532797056028,-7.275697588920593
198.0,40.77585271554666,41.491,0.0,6.281532797056028,-7.2884514927864075
199.0,40.77585271554666,41.362,0.0,6.281532797056028,-7.171708345413208
200.0,40.77585271554666,41.362,0.0,6.281532797056028,-7.167955040931702
201.0,40.77585271554666,41.266,0.0,6.281532797056028,-7.2148168087005615
202.0,40.77585271554666,41.233,0.0,6.281532797056028,-7.1749502420425415
203.0,40.77585271554666,41.169,0.0,6.281532797056028,-7.162780165672302
204.0,40.77585271554666,41.169,0.0,6.281532797056028,-7.046248912811279
205.0,40.77585271554666,41.201,0.0,6.281532797056028,-6.985180377960205
206.0,40.77585271554666,41.104,0.0,6.281532797056028,-6.840271353721619
207.0,40.77585271554666,40.943,0.0,6.281532797056028,-6.907244324684143
208.0,40.77585271554666,40.943,0.0,6.281532797056028,-7.1464455127716064
209.0,40.77585271554666,40.879,0.0,6.281532797056028,-7.08402693271637
210.0,40.77585271554666,40.879,0.0,6.281532797056028,-6.886746883392334
211.0,40.77585271554666,40.879,0.0,6.281532797056028,-6.8985432386398315
212.0,40.77585271554666,40.75,0.0,6.281532797056028,-6.837622225284576
213.0,40.77585271554666,40.782,0.0,6.281532797056028,-6.93677544593811
214.0,40.77585271554666,40.75,0.0,6.281532797056028,-6.95891797542572
215.0,40.77585271554666,40.557,0.0,6.281532797056028,-6.819444894790649
216.0,40.77585271554666,40.557,0.0,6.281532797056028,-7.004854381084442
217.0,40.77585271554666,40.524,0.0,6.281532797056028,-6.907033324241638
218.0,40.77585271554666,40.589,0.0,6.281532797056028,-6.752411127090454
219.0,40.77585271554666,40.524,0.0,6.281532797056028,-6.97199821472168
220.0,40.77585271554666,40.428,0.0,6.281532797056028,-6.849677860736847
221.0,40.77585271554666,40.363,0.0,6.281532797056028,-6.588521897792816
222.0,40.77585271554666,40.331,0.0,6.281532797056028,-6.500135064125061
223.0,40.77585271554666,40.234,0.0,6.281532797056028,-6.470575332641602
224.0,40.77585271554666,40.234,0.007546397882291167,6.281532797056028,-6.273986399173737
225.0,40.77585271554666,40.234,0.0,6.281532797056028,-6.3537633419036865
226.0,40.77585271554666,40.17,0.0,6.281532797056028,-6.440233290195465
227.0,40.77585271554666,40.17,0.0,6.281532797056028,-6.310551166534424
228.0,40.77585271554666,40.138,0.037309083181210845,6.281532797056028,-6.244223713874817
229.0,40.77585271554666,39.977,0.17871961279470572,6.281532797056028,-6.102813184261322
230.0,40.77585271554666,40.073,0.5449841944750036,6.281532797056028,-5.736548602581024
231.0,40.77585271554666,39.944,0.151962789731809,6.281532797056028,-6.129570007324219
232.0,40.77585271554666,39.912,0.3658314077432836,6.281532797056028,-5.915701389312744
233.0,40.77585271554666,39.848,0.5589754907663549,6.281532797056028,-5.722557306289673
234.0,40.77585271554666,39.848,0.550948533254453,6.281532797056028,-5.730584263801575
235.0,40.77585271554666,39.88,0.6287361709650243,6.281532797056028,-5.652796626091003
236.0,40.77585271554666,39.783,0.5371342627580846,6.281532797056028,-5.744398534297943
237.0,40.77585271554666,39.815,0.6353817908342565,6.281532797056028,-5.646151006221771
238.0,40.77585271554666,39.719,0.7204766599710668,6.281532797056028,-5.561056137084961
239.0,40.77585271554666,39.654,0.7680420605715002,6.281532797056028,-5.513490736484528
240.0,40.77585271554666,39.59,3.249867310158317,8.62735306226403,-5.377485752105713
